show,network,adults_18_49_week,viewers_week,adults_18_49_season,viewers_season,start_date,end_date
Jimmy Kimmel Live,ABC,0.53/3,2.22,0.57/3,2.38,2015-10-05,2015-10-09
Last Call with Carson Daly,NBC,0.27/2,0.9,0.31/3,0.96,2015-10-05,2015-10-09
Late Late Show with James Corden,CBS,0.34/2,1.3,0.37/3,1.39,2015-10-05,2015-10-09
Late Night with Seth Meyers,NBC,0.44/3,1.6,0.52/4,1.68,2015-10-05,2015-10-09
Late Show with Stephen Colbert,CBS,0.64/3,2.89,0.82/4,3.39,2015-10-05,2015-10-09
Nightline,ABC,0.34/2,1.45,0.37/2,1.54,2015-10-05,2015-10-09
The Tonight Show Starring Jimmy Fallon,NBC,0.88/4,3.52,1.04/5,3.76,2015-10-05,2015-10-09
Jimmy Kimmel Live,ABC,0.52/3,2.22,0.56/3,2.37,2015-10-12,2015-10-16
Last Call with Carson Daly,NBC,0.27/2,0.91,0.30/3,0.95,2015-10-12,2015-10-16
Late Late Show with James Corden,CBS,0.33/2,1.23,0.37/3,1.37,2015-10-12,2015-10-16
Late Night with Seth Meyers,NBC,0.46/3,1.57,0.51/4,1.66,2015-10-12,2015-10-16
Late Show with Stephen Colbert,CBS,0.59/3,2.63,0.83/4,3.38,2015-10-12,2015-10-16
Nightline,ABC,0.35/2,1.44,0.37/2,1.53,2015-10-12,2015-10-16
The Tonight Show Starring Jimmy Fallon,NBC,0.92/5,3.41,1.05/5,3.78,2015-10-12,2015-10-16
Jimmy Kimmel Live,ABC,0.67/3,2.78,0.59/3,2.47,2015-10-19,2015-10-23
Last Call with Carson Daly,NBC,0.26/2,0.88,0.29/3,0.94,2015-10-19,2015-10-23
Late Late Show with James Corden,CBS,0.31/2,1.15,0.36/3,1.34,2015-10-19,2015-10-23
Late Night with Seth Meyers,NBC,0.43/3,1.49,0.49/3,1.63,2015-10-19,2015-10-23
Late Show with Stephen Colbert,CBS,0.57/3,2.30,0.82/4,3.31,2015-10-19,2015-10-23
Nightline,ABC,0.39/2,1.60,0.38/2,1.55,2015-10-19,2015-10-23
The Tonight Show Starring Jimmy Fallon,NBC,0.88/4,3.22,1.04/5,3.77,2015-10-19,2015-10-23
