season,episode_number,rating,rating_count
1,1,8.7,21
2,1,7.8,9
3,1,7.1,8
4,1,6.1,7
5,1,7.4,9
6,1,N/A,N/A
7,1,7.6,11
8,1,7.6,8
9,1,7.8,9
10,1,8.4,16
11,1,8.5,6
1,2,8.2,12
2,2,7.5,8
3,2,6.6,7
4,2,6.1,7
5,2,7.7,9
6,2,N/A,N/A
7,2,7.2,10
9,2,7.8,5
10,2,8.0,10
1,3,8.2,12
2,3,7.4,8
3,3,6.9,7
4,3,6.4,7
5,3,8.4,9
6,3,N/A,N/A
7,3,7.0,8
9,3,7.9,8
10,3,7.8,8
1,4,7.6,9
2,4,7.4,8
3,4,6.6,7
4,4,6.4,7
5,4,7.8,10
6,4,7.4,5
7,4,7.2,10
9,4,7.9,8
10,4,7.9,8
1,5,7.3,9
2,5,7.4,8
3,5,6.9,7
4,5,6.3,7
5,5,7.8,9
6,5,7.4,5
7,5,7.2,10
10,5,8.2,8
1,6,7.4,9
2,6,7.5,8
3,6,6.4,7
4,6,6.1,7
5,6,6.9,10
6,6,5.9,10
7,6,7.2,5
8,6,7.8,8
9,6,7.1,8
10,6,8.0,8
1,7,7.8,12
2,7,7.4,8
3,7,6.9,7
4,7,6.1,7
5,7,7.7,10
7,7,7.6,10
8,7,7.4,12
9,7,7.8,8
10,7,8.0,9
1,8,7.3,11
2,8,7.9,9
3,8,6.4,12
4,8,6.0,7
5,8,8.2,10
7,8,7.6,10
9,8,7.8,9
10,8,7.8,5
1,9,7.6,9
2,9,7.4,8
3,9,6.3,6
4,9,6.2,8
5,9,7.8,9
7,9,7.7,10
9,9,7.8,8
10,9,7.8,14
1,10,7.9,9
2,10,7.4,8
3,10,6.4,7
4,10,6.2,8
5,10,7.8,9
7,10,7.6,9
9,10,7.6,9
10,10,7.8,13
1,11,7.4,8
2,11,7.4,8
3,11,6.4,7
4,11,7.0,8
5,11,7.8,9
7,11,7.3,9
9,11,6.7,10
10,11,7.8,12
1,12,7.3,9
2,12,7.9,9
3,12,6.4,8
4,12,6.3,7
5,12,7.8,9
7,12,6.4,11
9,12,7.1,9
10,12,8.7,13
1,13,7.4,8
2,13,7.8,9
3,13,6.9,7
4,13,6.3,7
5,13,7.8,9
7,13,7.6,9
9,13,7.4,8
10,13,7.8,13
1,14,7.4,8
2,14,7.9,9
3,14,6.6,8
4,14,6.6,7
5,14,7.2,13
7,14,7.8,8
9,14,7.9,9
1,15,7.4,8
2,15,7.9,9
3,15,6.6,7
4,15,6.9,8
5,15,8.1,10
7,15,7.5,8
1,16,7.6,9
2,16,7.9,9
3,16,6.6,7
4,16,6.7,7
5,16,7.9,8
6,16,7.1,9
7,16,7.0,9
9,16,7.8,9
1,17,7.4,8
2,17,7.5,8
3,17,6.6,7
4,17,6.8,9
5,17,7.8,9
6,17,7.4,5
7,17,7.4,5
8,17,7.7,9
9,17,8.0,10
1,18,7.4,8
2,18,7.4,8
3,18,6.6,7
4,18,7.0,8
5,18,7.8,9
7,18,6.9,9
8,18,7.7,10
9,18,7.7,9
10,18,7.8,12
1,19,7.5,8
2,19,7.4,8
3,19,6.6,7
4,19,7.2,8
5,19,9.0,13
6,19,7.4,5
7,19,7.2,5
8,19,7.8,8
9,19,7.7,11
10,19,8.0,12
1,20,6.4,12
2,20,7.2,8
3,20,7.0,7
4,20,7.2,8
5,20,8.4,11
6,20,7.0,10
7,20,8.0,6
8,20,7.4,8
9,20,7.6,10
10,20,7.8,11
1,21,7.5,8
2,21,7.8,9
3,21,6.7,7
4,21,6.2,8
5,21,7.8,8
6,21,N/A,N/A
7,21,7.2,9
8,21,7.4,8
9,21,7.8,12
10,21,7.8,12
1,22,7.5,8
2,22,7.5,10
3,22,6.6,7
4,22,7.1,8
5,22,N/A,N/A
6,22,7.6,5
7,22,8.0,5
8,22,7.7,9
9,22,7.2,11
10,22,8.0,12
1,23,7.6,9
2,23,7.2,9
3,23,6.6,8
4,23,6.9,7
5,23,N/A,N/A
6,23,7.2,8
7,23,7.6,5
8,23,7.5,11
9,23,7.7,11
10,23,7.8,10
1,24,7.4,8
2,24,7.4,8
3,24,6.6,7
4,24,8.5,10
5,24,7.8,8
6,24,7.2,8
7,24,7.5,8
8,24,7.4,12
9,24,7.3,9
10,24,7.7,9
1,25,7.4,8
2,25,7.5,8
3,25,6.6,7
4,25,7.0,8
5,25,7.2,8
6,25,7.4,8
7,25,7.8,5
8,25,7.1,11
9,25,7.6,12
10,25,8.4,11
1,26,7.6,10
2,26,7.6,8
3,26,6.6,7
4,26,7.2,8
5,26,7.8,8
6,26,8.0,5
7,26,N/A,N/A
8,26,7.7,9
9,26,7.5,11
10,26,7.6,10
1,27,7.4,8
2,27,7.5,8
3,27,6.6,7
4,27,6.6,7
5,27,7.5,8
6,27,7.8,5
7,27,8.0,5
8,27,8.0,9
9,27,7.6,11
10,27,7.9,10
1,28,7.5,8
2,28,7.8,9
3,28,6.7,7
4,28,7.1,8
5,28,7.2,8
6,28,7.8,5
7,28,6.6,5
8,28,7.8,8
9,28,7.6,12
10,28,8.4,9
1,29,7.5,8
2,29,7.5,8
3,29,6.6,7
4,29,6.6,7
5,29,N/A,N/A
6,29,7.1,8
7,29,7.2,5
8,29,7.9,9
9,29,7.5,11
10,29,8.0,9
1,30,7.9,9
2,30,7.5,8
3,30,6.6,7
4,30,6.6,7
5,30,N/A,N/A
6,30,N/A,N/A
7,30,N/A,N/A
8,30,7.5,11
9,30,7.2,9
10,30,7.8,8
1,31,8.1,11
2,31,7.7,9
3,31,6.7,7
4,31,6.7,7
5,31,N/A,N/A
7,31,7.2,5
8,31,8.2,11
9,31,8.1,17
1,32,7.9,10
2,32,7.5,8
3,32,6.7,7
4,32,6.7,7
5,32,7.1,8
7,32,7.8,8
8,32,8.0,9
9,32,8.3,18
2,33,6.6,10
3,33,6.4,7
4,33,6.9,7
5,33,N/A,N/A
7,33,7.1,9
8,33,7.8,12
9,33,8.1,14
10,33,8.1,7
2,34,7.6,10
3,34,7.1,7
4,34,6.6,7
5,34,7.4,5
6,34,6.9,8
7,34,7.2,8
8,34,7.9,9
9,34,7.9,14
2,35,7.5,8
3,35,6.6,7
4,35,6.6,7
5,35,7.5,8
6,35,N/A,N/A
7,35,7.2,8
8,35,7.8,9
9,35,7.1,9
2,36,8.1,10
3,36,6.9,7
4,36,6.6,7
5,36,N/A,N/A
6,36,7.2,8
7,36,6.8,10
8,36,7.8,12
9,36,7.0,9
2,37,7.5,8
3,37,6.6,7
4,37,6.9,7
5,37,7.9,8
7,37,7.2,8
8,37,7.9,11
9,37,7.7,9
10,37,8.1,8
2,38,7.9,9
3,38,7.1,8
4,38,6.4,8
5,38,N/A,N/A
7,38,7.6,5
8,38,7.5,11
9,38,8.8,16
10,38,8.1,7
2,39,7.3,9
3,39,6.6,7
4,39,6.7,7
5,39,N/A,N/A
7,39,7.0,8
8,39,7.6,11
9,39,7.7,9
10,39,8.1,13
2,40,7.4,8
3,40,6.6,7
4,40,6.6,7
5,40,N/A,N/A
6,40,N/A,N/A
7,40,7.0,5
8,40,7.7,10
9,40,7.5,10
10,40,7.6,10
2,41,7.4,7
3,41,6.6,7
4,41,6.9,7
5,41,N/A,N/A
7,41,7.6,5
8,41,7.7,11
9,41,6.9,9
2,42,7.4,8
3,42,6.6,7
4,42,7.1,8
5,42,N/A,N/A
7,42,7.6,5
8,42,7.6,11
9,42,7.2,9
2,43,7.4,8
3,43,6.6,7
4,43,6.6,7
5,43,N/A,N/A
7,43,6.6,9
8,43,8.4,11
9,43,7.2,11
10,43,8.5,8
2,44,7.6,8
3,44,6.6,7
4,44,7.0,8
5,44,N/A,N/A
6,44,N/A,N/A
7,44,7.6,5
8,44,7.8,12
9,44,7.6,11
2,45,7.4,8
3,45,6.9,7
4,45,6.6,7
5,45,N/A,N/A
7,45,6.8,12
8,45,7.7,10
9,45,7.2,12
10,45,7.6,7
2,46,7.4,8
3,46,6.6,7
4,46,7.0,8
5,46,N/A,N/A
6,46,5.7,7
7,46,7.5,12
8,46,7.7,11
10,46,7.1,9
2,47,7.4,8
3,47,6.7,7
4,47,6.9,7
5,47,7.2,8
6,47,7.4,5
7,47,7.2,5
8,47,8.1,13
9,47,7.5,11
10,47,8.3,7
2,48,7.4,8
3,48,6.7,7
4,48,6.9,7
5,48,6.4,9
6,48,N/A,N/A
7,48,7.4,5
8,48,7.7,11
9,48,7.1,11
10,48,7.4,7
2,49,7.5,8
3,49,7.1,8
4,49,7.0,7
5,49,7.0,8
6,49,7.4,5
7,49,7.7,10
8,49,7.6,11
9,49,7.4,11
10,49,8.3,7
2,50,7.4,8
3,50,6.6,7
4,50,6.6,7
5,50,7.2,8
6,50,N/A,N/A
7,50,7.2,12
8,50,8.2,11
9,50,7.7,11
10,50,7.7,9
2,51,7.8,10
3,51,6.6,7
4,51,5.8,10
5,51,N/A,N/A
6,51,N/A,N/A
7,51,7.5,14
8,51,7.8,11
9,51,7.3,11
2,52,7.4,8
3,52,7.2,9
4,52,6.9,7
5,52,N/A,N/A
6,52,N/A,N/A
7,52,6.9,10
8,52,7.7,11
9,52,7.3,12
2,53,7.4,8
3,53,6.7,7
4,53,6.4,7
5,53,N/A,N/A
6,53,N/A,N/A
7,53,7.7,10
8,53,7.6,15
9,53,7.2,11
10,53,7.0,9
2,54,8.0,10
3,54,6.9,8
4,54,6.3,9
5,54,N/A,N/A
6,54,N/A,N/A
7,54,7.1,9
8,54,7.6,11
2,55,7.4,8
3,55,6.6,7
4,55,6.6,7
5,55,N/A,N/A
7,55,7.2,9
8,55,7.7,9
9,55,7.6,12
10,55,8.1,7
2,56,7.4,8
3,56,6.7,7
4,56,6.9,8
5,56,N/A,N/A
6,56,7.4,9
7,56,N/A,N/A
8,56,7.7,11
9,56,7.8,13
10,56,7.6,7
2,57,7.4,8
3,57,6.6,8
4,57,6.4,7
5,57,N/A,N/A
6,57,N/A,N/A
7,57,7.8,8
8,57,7.4,12
9,57,7.4,11
2,58,7.4,8
3,58,6.7,7
4,58,6.4,7
5,58,N/A,N/A
6,58,N/A,N/A
7,58,6.8,8
8,58,7.4,10
9,58,7.2,10
10,58,8.0,13
2,59,7.4,8
3,59,6.7,7
4,59,6.4,7
5,59,N/A,N/A
6,59,N/A,N/A
7,59,7.1,8
8,59,7.9,12
9,59,7.8,11
10,59,8.5,11
2,60,7.4,8
3,60,6.6,7
4,60,6.4,7
5,60,N/A,N/A
7,60,6.9,8
8,60,7.1,11
9,60,7.6,11
10,60,7.0,9
2,61,7.4,9
3,61,6.6,7
4,61,6.4,7
5,61,N/A,N/A
6,61,N/A,N/A
7,61,6.1,9
8,61,7.8,13
9,61,7.6,14
10,61,7.7,12
2,62,7.4,8
3,62,6.7,7
4,62,6.4,7
5,62,N/A,N/A
6,62,8.0,5
7,62,6.4,9
8,62,7.6,11
9,62,7.5,12
10,62,7.6,9
2,63,7.4,8
3,63,7.6,14
4,63,6.9,7
5,63,N/A,N/A
6,63,N/A,N/A
7,63,7.1,8
8,63,7.8,11
9,63,7.5,12
10,63,8.6,8
2,64,7.4,8
3,64,8.7,20
4,64,6.7,7
5,64,N/A,N/A
6,64,N/A,N/A
7,64,7.0,5
8,64,7.8,13
9,64,7.4,12
10,64,7.9,8
2,65,8.4,14
3,65,7.3,10
4,65,6.4,7
5,65,N/A,N/A
7,65,7.0,6
8,65,7.6,12
9,65,7.4,13
10,65,8.3,9
2,66,7.4,8
3,66,6.3,9
4,66,6.7,7
5,66,7.6,5
7,66,7.4,5
8,66,7.8,11
9,66,7.2,11
10,66,8.0,8
2,67,7.4,8
3,67,7.0,7
4,67,6.6,7
5,67,N/A,N/A
7,67,N/A,N/A
8,67,7.8,12
9,67,7.5,14
2,68,7.4,8
3,68,6.4,7
4,68,6.8,8
5,68,7.4,10
7,68,6.8,10
8,68,7.9,11
9,68,7.2,12
10,68,8.1,9
2,69,7.4,8
3,69,6.6,7
4,69,7.0,8
5,69,N/A,N/A
6,69,N/A,N/A
7,69,6.9,8
8,69,7.7,13
9,69,7.3,10
2,70,7.4,8
3,70,7.0,8
4,70,7.1,9
5,70,N/A,N/A
6,70,N/A,N/A
7,70,7.6,5
8,70,7.5,11
9,70,N/A,N/A
10,70,8.0,7
2,71,7.4,8
3,71,6.7,7
4,71,6.7,7
5,71,N/A,N/A
6,71,N/A,N/A
7,71,6.0,10
8,71,7.8,9
9,71,7.8,12
10,71,6.0,7
2,72,7.5,8
3,72,6.9,8
4,72,6.4,7
5,72,7.4,5
6,72,N/A,N/A
7,72,7.0,8
8,72,7.9,11
9,72,7.3,12
2,73,7.4,8
3,73,6.6,7
4,73,7.0,8
6,73,N/A,N/A
7,73,7.2,5
8,73,7.8,10
9,73,7.3,12
10,73,7.6,5
2,74,7.4,8
3,74,7.0,8
4,74,6.4,7
5,74,N/A,N/A
6,74,N/A,N/A
7,74,7.6,5
8,74,8.0,11
9,74,7.6,11
10,74,N/A,N/A
2,75,7.4,8
3,75,7.7,9
4,75,6.6,8
5,75,7.8,8
6,75,N/A,N/A
7,75,7.1,8
8,75,7.9,10
9,75,7.6,11
10,75,7.8,9
2,76,7.4,8
3,76,6.6,8
4,76,6.6,7
5,76,7.1,9
6,76,7.2,8
8,76,8.1,10
10,76,7.9,8
2,77,6.6,9
3,77,6.9,8
4,77,6.6,7
5,77,8.1,8
6,77,7.4,5
7,77,N/A,N/A
8,77,8.0,8
9,77,7.6,12
10,77,7.0,6
2,78,7.4,8
3,78,6.8,8
4,78,6.6,7
5,78,8.2,10
6,78,7.4,5
7,78,5.9,9
8,78,8.1,9
9,78,7.7,11
10,78,N/A,N/A
2,79,7.5,8
3,79,6.6,7
4,79,7.0,7
6,79,7.4,5
7,79,7.4,8
8,79,7.8,8
9,79,7.9,10
2,80,7.7,9
3,80,6.6,7
4,80,6.6,7
6,80,N/A,N/A
7,80,7.8,5
8,80,8.4,8
9,80,7.7,11
2,81,6.4,9
3,81,7.6,9
4,81,7.3,9
6,81,N/A,N/A
7,81,7.8,5
8,81,8.0,11
9,81,7.7,10
2,82,7.7,10
3,82,6.6,7
4,82,6.7,7
6,82,7.6,8
7,82,7.4,10
8,82,8.0,8
9,82,8.1,14
2,83,7.4,8
3,83,6.6,7
4,83,6.9,7
5,83,7.0,6
6,83,6.8,8
7,83,7.0,8
