season,episode_number,rating,rating_count
1,1,6.1,18
2,1,N/A,N/A
3,1,N/A,N/A
4,1,N/A,N/A
5,1,6.3,6
6,1,N/A,N/A
7,1,N/A,N/A
8,1,N/A,N/A
9,1,6.0,9
10,1,6.8,10
11,1,7.1,9
12,1,7.3,13
13,1,7.0,7
14,1,5.6,14
15,1,6.8,17
16,1,6.9,16
17,1,7.9,14
18,1,5.1,15
19,1,6.7,21
20,1,7.9,17
1,2,N/A,N/A
2,2,N/A,N/A
3,2,N/A,N/A
4,2,6.0,7
5,2,6.2,5
6,2,N/A,N/A
7,2,N/A,N/A
8,2,N/A,N/A
9,2,5.9,12
10,2,6.5,10
11,2,6.8,11
12,2,5.9,11
13,2,6.1,10
14,2,6.8,13
15,2,6.8,16
16,2,6.7,15
17,2,7.3,15
18,2,6.5,16
19,2,7.8,21
20,2,8.3,23
1,3,4.0,6
2,3,N/A,N/A
3,3,N/A,N/A
4,3,N/A,N/A
5,3,7.2,5
6,3,N/A,N/A
7,3,N/A,N/A
8,3,N/A,N/A
9,3,4.3,15
10,3,7.4,9
11,3,6.7,10
12,3,6.8,10
13,3,7.0,8
14,3,7.5,17
15,3,6.7,15
16,3,6.8,14
17,3,7.5,18
18,3,5.6,14
19,3,7.8,20
20,3,7.0,20
1,4,N/A,N/A
2,4,N/A,N/A
3,4,N/A,N/A
4,4,N/A,N/A
5,4,7.8,5
6,4,N/A,N/A
7,4,N/A,N/A
8,4,5.7,13
9,4,5.9,8
10,4,5.9,9
11,4,7.1,10
12,4,7.0,9
13,4,5.4,12
14,4,6.9,14
15,4,6.6,16
16,4,6.9,13
17,4,7.3,18
18,4,6.2,17
19,4,8.1,21
20,4,8.1,18
1,5,4.3,6
2,5,N/A,N/A
3,5,N/A,N/A
4,5,N/A,N/A
5,5,N/A,N/A
6,5,N/A,N/A
7,5,N/A,N/A
8,5,N/A,N/A
9,5,5.9,8
10,5,7.9,12
11,5,7.1,8
12,5,7.8,13
13,5,5.9,10
14,5,6.5,15
15,5,6.7,17
16,5,7.4,17
17,5,7.3,15
18,5,7.1,14
19,5,7.6,18
20,5,8.0,17
1,6,N/A,N/A
2,6,N/A,N/A
3,6,N/A,N/A
4,6,N/A,N/A
