number,airdate,url,name,description
1,09/08/15,http://www.imdb.com/title/tt4470510/,George Clooney/Governor Jeb Bush/Mavis Staples & Friends,"Stephen Colbert succeeds David Letterman as ""Late Show"" host, with his first guests George Clooney and Governor Jeb Bush. Also: Mavis Staples performs with various additional guests; Jonathan Batiste and Stay Human debut as the house band."
2,09/09/15,http://www.imdb.com/title/tt4865772/,Scarlett Johansson/Elon Musk/Kendrick Lamar,Scarlett Johansson (Avengers: Age of Ultron (2015)); SpaceX and Tesla Motors CEO Elon Musk. Also: Kendrick Lamar performs.
3,09/10/15,http://www.imdb.com/title/tt4865770/,Vice President Joe Biden/Travis Kalanick/Toby Keith,Vice President Joe Biden; Uber CEO Travis Kalanick. Also: Toby Keith performs.
4,09/11/15,http://www.imdb.com/title/tt4865768/,Amy Schumer/Stephen King/Troubled Waters,Amy Schumer (Trainwreck (2015)); author Stephen King; Paul Simon performs.
5,09/14/15,http://www.imdb.com/title/tt5003200/,Emily Blunt/Justice Stephen Breyer/The Dead Weather,Actress Emily Blunt (Sicario (2015)); Supreme Court justice Stephen Breyer; The Dead Weather performs.
6,09/15/15,http://www.imdb.com/title/tt5003208/,Jake Gyllenhaal/Apple CEO Tim Cook/Run the Jewels & TV on the Radio,Actor Jake Gyllenhaal (Everest (2015)); Apple CEO Tim Cook; Run the Jewels performs with TV on the Radio.
7,09/16/15,http://www.imdb.com/title/tt5003218/,Kevin Spacey/Carol Burnett/Abbi Jacobson & Ilana Glazer/Willie Nelson & John Mellencamp,Actor Kevin Spacey; TV legend Carol Burnett with comics Abbi Jacobson and Ilana Glazer; Willie Nelson and John Mellencamp are interviewed and perform.
8,09/17/15,http://www.imdb.com/title/tt5003230/,Trevor Noah/Ban Ki-Moon/Chris Stapleton,Trevor Noah (The Daily Show (1996)); United Nations secretary-general Ban Ki-moon. Also: Chris Stapleton performs.
9,09/18/15,http://www.imdb.com/title/tt5003246/,"Lupita Nyong'o/Sen. Bernie Sanders/Cast of ""An American in Paris""","Actress Lupita Nyong'o; Sen. Bernie Sanders (D-Ind.-Vt.); a performance from ""An American in Paris"" stars Christopher Wheeldon, Robert Fairchild and Leanne Cope."
10,09/21/15,http://www.imdb.com/title/tt5017722/,Steph Curry/Sen. Ted Cruz/Don Henley,NBA MVP Stephen Curry; 2016 Republican presidential candidate Sen. Ted Cruz (R-Texas). Also: Don Henley performs.
11,09/22/15,http://www.imdb.com/title/tt5017742/,Donald Trump/Ernest Moniz/Raury,2016 presidential candidate Donald Trump; U.S. Secretary of Energy Ernest Moniz. Also: Raury performs.
12,09/23/15,http://www.imdb.com/title/tt5017752/,Hugh Jackman/Sen. Elizabeth Warren/Pearl Jam,Hugh Jackman (Pan (2015)); Sen. Elizabeth Warren (D-Mass.). Also: Pearl Jam perform.
13,09/24/15,http://www.imdb.com/title/tt5017758/,Andrew Sullivan/Maria Shriver/Jim Gaffigan/Archbishop Thomas Wenski,Author Andrew Sullivan; journalist and activist Maria Shriver; comedian Jim Gaffigan (The Jim Gaffigan Show (2015)); Archbishop Thomas Wenski. Also: The YMCA Jerusalem Youth Chorus and the Choir of St. Jean Baptiste perform.
14,09/25/15,http://www.imdb.com/title/tt5017766/,Malala Yousafzai/Kerry Washington/The Arcs,Nobel Prize Laureate Malala Yousafzai (He Named Me Malala (2015)); Kerry Washington (Scandal (2012)). Also: The Arcs perform.
