season,episode_number,rating,rating_count
1,1,7.4,101
2,1,6.2,9
1,2,7.4,62
2,2,6.6,9
1,3,8.2,71
2,3,6.3,11
1,4,7.3,45
2,4,6.0,7
1,5,7.6,38
2,5,6.8,5
1,6,7.6,35
2,6,7.0,13
1,7,7.8,38
2,7,6.5,8
1,8,7.4,34
2,8,5.9,7
1,9,8.0,40
2,9,6.1,7
1,10,7.7,34
2,10,6.3,9
1,11,7.8,36
2,11,6.6,10
1,12,7.3,29
2,12,6.2,8
1,13,7.0,26
2,13,6.1,7
1,14,7.4,27
2,14,7.1,11
1,15,6.9,21
2,15,6.1,8
1,16,7.0,23
2,16,6.2,8
1,17,7.6,23
2,17,6.1,8
1,18,6.5,21
2,18,6.0,7
1,19,7.3,23
2,19,6.1,9
1,20,7.6,21
2,20,6.0,7
1,21,7.0,23
2,21,5.9,7
1,22,7.1,11
2,22,5.9,7
1,23,7.4,17
2,23,6.8,9
1,24,7.2,18
2,24,6.6,5
1,25,7.5,17
2,25,6.5,8
1,26,7.5,19
2,26,6.8,5
1,27,7.6,16
2,27,5.7,9
1,28,6.8,17
2,28,7.0,5
1,29,8.0,22
2,29,6.8,5
1,30,6.7,15
2,30,6.8,9
1,31,7.5,18
2,31,7.0,5
1,32,7.3,15
2,32,7.2,5
1,33,7.7,22
2,33,7.0,5
1,34,6.8,16
2,34,6.6,5
1,35,6.9,14
2,35,6.6,5
1,36,7.2,18
2,36,6.6,7
1,37,7.9,20
2,37,6.6,5
1,38,7.3,18
2,38,6.1,7
1,39,6.8,15
2,39,5.3,7
1,40,6.4,14
2,40,7.0,6
1,41,7.1,18
2,41,6.9,7
1,42,7.0,14
2,42,6.8,5
1,43,6.8,11
2,43,6.1,9
1,44,6.9,17
2,44,6.7,6
1,45,7.6,21
2,45,5.6,8
1,46,7.2,15
2,46,N/A,N/A
1,47,6.9,13
2,47,6.4,5
1,48,7.5,11
2,48,6.4,7
1,49,7.7,16
2,49,6.4,5
1,50,7.5,13
2,50,N/A,N/A
1,51,6.5,11
2,51,N/A,N/A
1,52,6.5,11
2,52,N/A,N/A
1,53,6.6,12
2,53,N/A,N/A
1,54,7.1,14
2,54,6.6,5
1,55,6.1,11
2,55,7.6,7
1,56,7.4,13
2,56,8.0,5
1,57,6.9,11
2,57,N/A,N/A
1,58,6.8,13
2,58,N/A,N/A
1,59,7.4,14
2,59,N/A,N/A
1,60,6.7,15
2,60,N/A,N/A
1,61,7.2,12
2,61,N/A,N/A
1,62,6.9,9
2,62,N/A,N/A
1,63,6.7,10
2,63,7.4,5
1,64,6.8,9
2,64,N/A,N/A
1,65,7.2,10
2,65,N/A,N/A
1,66,6.6,11
2,66,N/A,N/A
1,67,6.9,11
2,67,N/A,N/A
1,68,6.3,9
2,68,N/A,N/A
1,69,6.4,10
2,69,6.6,5
1,70,6.4,9
2,70,8.3,6
1,71,6.8,12
2,71,N/A,N/A
1,72,6.9,9
2,72,7.4,5
1,73,6.8,9
2,73,N/A,N/A
1,74,6.9,10
2,74,7.8,5
1,75,7.6,14
2,75,8.3,7
1,76,6.9,9
2,76,N/A,N/A
1,77,7.3,10
2,77,7.8,5
1,78,7.2,12
2,78,8.2,5
1,79,6.9,9
2,79,N/A,N/A
1,80,6.7,11
2,80,N/A,N/A
1,81,7.0,11
2,81,8.2,5
1,82,7.0,10
2,82,8.6,9
1,83,6.5,11
2,83,8.2,8
1,84,5.8,12
2,84,7.8,6
1,85,7.0,11
2,85,8.2,6
1,86,6.9,8
2,86,N/A,N/A
1,87,7.0,14
2,87,7.8,5
1,88,6.6,9
2,88,8.2,5
1,89,6.9,11
2,89,8.5,10
1,90,7.5,16
2,90,N/A,N/A
1,91,6.7,10
2,91,N/A,N/A
1,92,6.6,8
2,92,8.0,6
1,93,6.3,12
2,93,7.0,7
1,94,6.6,7
2,94,7.4,7
1,95,6.6,7
2,95,7.0,7
1,96,5.1,11
2,96,7.6,5
1,97,6.4,9
2,97,N/A,N/A
