season,episode_number,air_date,count
1,1,09/08/15,10
1,2,09/09/15,2
1,3,09/10/15,10
1,4,09/11/15,5
1,5,09/14/15,10
1,6,09/15/15,3
1,7,09/16/15,4
1,8,09/17/15,10
1,9,09/18/15,7
1,10,09/21/15,9
1,11,09/22/15,17
1,12,09/23/15,1
1,13,09/24/15,1
1,14,09/25/15,0
1,15,09/28/15,0
1,16,09/29/15,0
1,17,09/30/15,2
1,18,10/01/15,2
1,19,10/02/15,4
1,20,10/05/15,1
1,21,10/06/15,3
1,22,10/07/15,1
1,23,10/08/15,0
1,24,10/09/15,0
1,25,10/12/15,2
1,26,10/13/15,0
1,27,10/14/15,6
1,28,10/15/15,0
1,29,10/16/15,0
1,30,10/26/15,1
1,31,10/27/15,1
1,32,10/28/15,14
1,33,10/29/15,4
1,34,10/30/15,1
1,35,11/02/15,0
1,36,11/03/15,0
1,37,11/04/15,7
1,41,11/10/15,0
1,42,11/11/15,7
1,43,11/12/15,0
1,45,11/16/15,5
1,46,11/17/15,17
1,47,11/18/15,5
1,48,11/19/15,2
1,49,11/20/15,5
1,50,11/23/15,0
1,51,11/24/15,10
1,53,12/07/15,0
1,54,12/08/15,0
1,55,12/09/15,6
1,56,12/10/15,10
1,57,12/11/15,0
1,58,12/14/15,4
1,59,12/15/15,1
1,60,12/16/15,12
1,61,12/17/15,2
1,62,12/18/15,1
1,63,01/04/16,2
1,64,01/05/16,0
1,65,01/06/16,6
1,66,01/07/16,9
1,67,01/08/16,0
1,68,01/11/16,6
1,69,01/12/16,1
1,70,01/13/16,5
1,71,01/14/16,10
1,72,01/15/16,7
1,73,01/18/16,0
1,74,01/19/16,0
1,75,01/20/16,6
1,76,01/21/16,8
1,77,01/22/16,1
1,78,01/25/16,19
1,79,01/26/16,4
1,80,01/27/16,2
1,81,01/28/16,30
1,82,02/01/16,0
1,83,02/02/16,10
1,84,02/03/16,2
1,85,02/04/16,1
1,86,02/05/16,1
1,87,02/07/16,8
1,88,02/08/16,10
1,89,02/09/16,4
1,90,02/10/16,13
1,91,02/11/16,0
1,92,02/15/16,5
1,93,02/16/16,23
1,94,02/17/16,7
1,95,02/18/16,11
1,96,02/19/16,0
1,97,02/22/16,6
1,98,02/23/16,12
1,99,02/24/16,11
1,100,02/25/16,4
1,101,02/29/16,3
1,102,03/01/16,7
1,103,03/02/16,10
1,104,03/03/16,21
1,105,03/07/16,3
1,106,03/08/16,1
1,107,03/09/16,21
1,108,03/10/16,0
1,109,03/11/16,0
1,110,03/14/16,18
1,111,03/15/16,0
1,112,03/16/16,11
1,113,03/17/16,2
1,114,03/28/16,6
1,115,03/29/16,0
1,116,03/30/16,36
1,117,03/31/16,1
1,118,04/01/16,4
1,119,04/04/16,18
1,120,04/05/16,1
1,121,04/06/16,6
1,122,04/07/16,6
1,123,04/18/16,1
1,124,04/19/16,3
1,125,04/20/16,12
1,126,04/21/16,0
1,127,04/22/16,0
1,128,04/25/16,10
1,129,04/26/16,19
1,130,04/27/16,17
1,131,04/28/16,1
1,132,04/29/16,6
1,133,05/02/16,22
1,134,05/03/16,14
1,135,05/04/16,19
1,136,05/05/16,23
1,137,05/06/16,2
1,138,05/09/16,17
1,139,05/10/16,22
1,140,05/11/16,14
1,141,05/12/16,13
1,142,05/13/16,16
1,143,05/16/16,23
1,144,05/17/16,7
1,145,05/18/16,10
1,146,05/19/16,9
1,147,05/20/16,10
1,148,05/23/16,8
1,149,05/24/16,0
1,150,05/25/16,3
1,151,05/26/16,14
1,152,05/27/16,18
1,153,06/06/16,14
1,154,06/07/16,5
1,155,06/08/16,5
1,156,06/09/16,24
1,157,06/10/16,1
1,158,06/13/16,4
1,159,06/14/16,28
1,160,06/15/16,13
1,161,06/16/16,6
1,162,06/17/16,4
1,163,06/20/16,10
1,164,06/21/16,15
1,165,06/22/16,5
1,166,06/23/16,8
1,167,06/24/16,0
1,168,06/27/16,5
1,169,06/28/16,0
1,170,06/29/16,12
1,171,06/30/16,8
1,172,07/01/16,3
1,173,07/11/16,1
1,174,07/12/16,4
1,175,07/13/16,16
1,176,07/14/16,26
1,177,07/15/16,13
1,178,07/18/16,41
1,179,07/19/16,20
1,180,07/20/16,58
1,181,07/21/16,46
1,182,07/22/16,15
1,183,07/25/16,8
1,184,07/26/16,4
1,185,07/27/16,25
1,186,07/28/16,7
1,187,07/29/16,12
1,188,08/01/16,44
1,189,08/02/16,16
1,190,08/03/16,28
1,191,08/04/16,23
1,192,08/05/16,4
1,193,08/22/16,15
1,194,08/23/16,7
1,195,08/24/16,31
1,196,08/25/16,22
1,197,08/26/16,0
1,198,08/29/16,14
1,199,08/30/16,16
1,200,08/31/16,16
1,201,09/01/16,19
1,202,09/02/16,30
2,1,09/06/16,24
2,2,09/07/16,14
2,3,09/08/16,20
2,4,09/09/16,1
2,5,09/12/16,1
2,6,09/13/16,5
2,7,09/14/16,7
2,8,09/15/16,24
2,9,09/16/16,6
2,10,09/19/16,8
2,11,09/20/16,10
2,12,09/21/16,20
2,13,09/22/16,5
2,14,09/23/16,7
2,15,09/26/16,24
2,16,09/27/16,24
2,17,09/28/16,14
2,18,09/29/16,12
2,19,09/30/16,16
2,20,10/03/16,15
2,21,10/04/16,40
2,22,10/05/16,19
2,23,10/06/16,20
2,24,10/07/16,15
2,25,10/17/16,36
2,26,10/18/16,13
2,27,10/19/16,48
2,28,10/20/16,16
2,29,10/21/16,9
2,30,10/24/16,14
2,31,10/25/16,30
2,32,10/26/16,30
2,33,10/27/16,17
2,34,10/28/16,3
2,35,10/31/16,34
2,36,11/01/16,14
2,37,11/02/16,12
2,38,11/03/16,17
2,39,11/04/16,21
2,40,11/07/16,19
2,41,11/09/16,33
2,42,11/10/16,35
2,43,11/14/16,27
2,45,11/16/16,13
2,46,11/17/16,34
2,47,11/18/16,7
2,48,11/21/16,13
2,49,11/22/16,28
2,50,11/23/16,13
2,51,11/30/16,13
2,52,12/01/16,24
2,53,12/02/16,19
2,54,12/05/16,21
2,55,12/06/16,15
2,56,12/07/16,15
2,57,12/08/16,24
2,58,12/09/16,14
2,59,12/12/16,19
2,60,12/13/16,13
2,61,12/14/16,21
2,62,12/15/16,12
2,63,12/16/16,14
2,64,12/19/16,13
2,65,12/20/16,17
2,66,12/21/16,24
2,67,12/22/16,10
2,68,12/23/16,13
2,69,01/03/17,19
2,70,01/04/17,14
2,71,01/05/17,29
2,72,01/06/17,9
2,73,01/09/17,8
2,74,01/10/17,21
2,75,01/11/17,20
2,76,01/12/17,13
2,77,01/13/17,19
2,78,01/16/17,14
2,79,01/17/17,19
2,80,01/18/17,31
2,81,01/19/17,22
2,82,01/20/17,14
2,83,01/30/17,21
2,84,01/31/17,28
2,85,02/01/17,27
2,86,02/02/17,19
2,87,02/03/17,21
2,88,02/06/17,10
2,89,02/07/17,14
2,90,02/08/17,19
2,91,02/09/17,18
2,92,02/10/17,17
2,93,02/13/17,25
2,94,02/14/17,29
2,95,02/15/17,26
2,96,02/16/17,22
2,97,02/17/17,21
2,98,02/20/17,7
2,99,02/21/17,21
2,100,02/22/17,29
2,101,02/23/17,16
2,102,02/24/17,24
2,103,02/27/17,19
2,104,02/28/17,42
2,105,03/01/17,16
2,106,03/02/17,41
2,107,03/03/17,20
2,108,03/06/17,12
2,109,03/07/17,17
2,110,03/08/17,5
2,111,03/09/17,35
2,112,03/10/17,9
2,113,03/13/17,5
2,114,03/14/17,10
2,115,03/15/17,27
2,116,03/20/17,33
2,117,03/21/17,10
2,118,03/22/17,16
2,119,03/27/17,18
2,120,03/28/17,17
2,121,03/29/17,30
2,122,03/30/17,9
2,123,03/31/17,11
2,124,04/03/17,35
2,125,04/04/17,8
2,126,04/05/17,21
2,127,04/06/17,2
2,128,04/07/17,25
2,129,04/17/17,14
2,130,04/18/17,9
2,131,04/19/17,14
2,132,04/20/17,7
2,133,04/21/17,23
2,134,04/24/17,33
2,135,04/25/17,5
2,136,04/26/17,11
2,137,04/27/17,5
2,138,04/28/17,5
2,139,05/01/17,21
2,140,05/02/17,17
2,141,05/03/17,16
2,142,05/04/17,8
2,143,05/05/17,34
2,144,05/08/17,19
2,145,05/09/17,19
2,146,05/10/17,17
2,147,05/11/17,13
2,148,05/12/17,23
2,149,05/15/17,30
2,150,05/16/17,34
2,151,05/17/17,5
2,152,05/18/17,17
2,153,05/19/17,19
2,154,05/22/17,15
2,155,05/23/17,26
2,156,05/24/17,35
2,157,05/25/17,23
2,158,05/26/17,26
2,159,06/05/17,21
2,160,06/06/17,16
2,161,06/07/17,14
2,162,06/08/17,13
2,163,06/09/17,21
2,164,06/12/17,5
2,165,06/13/17,0
2,166,06/14/17,8
2,167,06/15/17,8
2,168,06/16/17,17
2,169,06/19/17,7
2,170,06/20/17,26
2,171,06/21/17,22
2,172,06/26/17,33
2,173,06/27/17,19
2,174,06/28/17,17
2,176,06/30/17,16
2,177,07/10/17,16
2,178,07/11/17,20
2,179,07/12/17,36
2,180,07/13/17,11
2,181,07/14/17,26
2,182,07/17/17,20
2,183,07/18/17,22
2,184,07/19/17,9
2,185,07/20/17,22
2,186,07/21/17,5
2,187,07/24/17,25
2,188,07/25/17,20
2,189,07/26/17,21
2,190,07/27/17,24
2,191,07/28/17,16
2,192,07/31/17,4
2,193,08/01/17,26
2,194,08/02/17,23
2,195,08/03/17,26
2,196,08/04/17,16
2,197,08/07/17,18
2,198,08/08/17,34
2,201,08/11/17,21
2,202,08/14/17,14
2,203,08/15/17,37
2,204,08/16/17,9
2,205,08/17/17,17
2,206,08/18/17,17
