season,episode_number,rating,rating_count
1,1,8.5,90
1,2,7.7,62
1,3,8.1,44
1,4,7.4,47
1,5,8.7,59
1,6,7.9,32
1,7,8.0,31
1,8,7.8,31
1,9,7.9,27
1,10,7.7,27
1,11,8.0,25
1,12,6.7,25
1,13,7.8,24
1,14,7.8,28
1,15,8.5,28
1,16,8.2,22
1,17,8.3,17
1,18,8.1,21
1,19,7.9,19
1,20,8.0,23
1,21,8.1,23
1,22,7.8,23
1,23,7.9,19
1,24,8.0,23
1,25,8.1,26
1,26,7.9,23
1,27,7.9,19
1,28,7.5,19
1,29,8.0,25
1,30,7.6,18
1,31,7.9,18
1,32,7.4,17
1,33,6.9,14
1,34,7.4,17
1,35,7.4,16
1,36,7.9,17
1,37,7.5,19
1,38,7.7,19
1,39,7.8,15
1,40,7.9,14
1,41,7.7,17
1,42,7.6,14
1,43,8.6,17
1,44,7.7,13
1,45,7.4,15
1,46,8.2,31
1,47,7.1,14
1,48,7.5,13
1,49,7.9,20
1,50,7.8,18
1,51,7.8,18
1,52,7.5,24
1,53,8.1,14
1,54,6.7,11
1,55,6.9,15
1,56,7.7,18
1,57,7.6,15
1,58,7.6,14
1,59,7.6,19
1,60,7.5,15
1,61,7.8,12
1,62,7.9,16
1,63,7.9,15
1,64,7.9,19
1,65,7.6,15
1,66,7.6,15
1,67,7.2,15
1,68,7.3,18
1,69,7.8,17
1,70,6.8,19
1,71,7.1,17
1,72,7.5,17
1,73,6.8,10
1,74,7.8,13
1,75,7.1,17
1,76,7.7,14
1,77,7.6,13
1,78,7.5,15
1,79,6.7,12
1,80,7.7,13
1,81,7.3,15
1,82,7.5,12
1,83,6.9,11
1,84,7.6,12
1,85,6.7,13
1,86,6.3,12
1,87,6.0,8
1,88,7.1,10
1,89,7.1,10
1,90,7.6,12
1,91,7.3,15
1,92,7.8,13
1,93,7.2,13
1,94,8.2,16
1,95,7.8,12
1,96,7.7,9
1,97,7.2,16
1,98,6.7,11
1,99,6.6,12
1,100,7.5,13
1,101,7.5,13
1,102,6.9,14
1,103,7.8,12
1,104,7.7,11
1,105,7.3,17
1,106,6.9,12
1,107,6.9,15
1,108,7.8,12
1,109,6.8,13
1,110,6.3,16
1,111,7.6,14
1,112,7.6,19
1,113,7.6,13
1,114,7.5,12
2,1,7.6,14
2,2,7.8,12
2,3,7.7,14
2,4,7.6,11
2,5,7.8,12
2,6,7.6,10
2,7,7.7,16
2,8,7.5,10
2,9,7.2,13
2,10,7.9,21
2,11,7.5,15
2,12,7.5,11
2,13,7.4,12
2,14,7.3,19
2,15,7.6,14
2,16,7.1,11
2,17,7.6,17
2,18,7.3,15
2,19,7.5,17
2,20,6.8,12
2,21,7.7,10
2,22,7.7,12
2,23,7.8,20
2,24,7.8,13
2,25,7.4,13
2,26,7.4,17
2,27,7.6,17
2,28,7.9,15
2,29,7.2,13
2,30,7.2,12
2,31,7.2,14
2,32,6.8,15
2,33,7.2,13
2,34,7.5,13
2,35,7.4,14
2,36,8.0,23
2,37,7.6,13
2,38,7.2,13
2,39,8.1,18
2,40,6.9,12
2,41,7.5,11
2,42,8.6,8
2,43,7.5,11
2,44,7.2,17
2,45,7.4,12
2,46,8.2,6
2,47,6.9,15
2,48,7.8,12
2,49,7.8,10
2,50,7.8,17
2,51,7.2,10
2,52,7.6,14
2,53,7.8,13
2,54,7.2,14
2,55,7.4,11
2,56,7.6,15
2,57,7.5,15
2,58,7.4,15
2,59,7.5,16
2,60,7.4,13
2,61,7.1,13
2,62,7.9,14
2,63,7.9,15
2,64,6.5,13
2,65,7.4,12
2,66,7.4,14
2,67,7.5,16
2,68,7.7,15
2,69,7.8,14
2,70,7.8,13
2,71,7.2,12
2,72,7.6,8
2,73,7.5,12
2,74,8.3,28
2,75,7.5,14
2,76,7.5,13
2,77,8.4,7
2,78,7.2,13
2,79,6.8,12
2,80,6.0,15
2,81,7.3,15
2,82,7.2,12
2,83,7.0,12
2,84,7.2,12
2,85,7.7,14
2,86,8.4,8
2,87,7.4,12
2,88,8.2,37
2,89,7.4,12
2,90,7.1,16
2,91,7.8,22
2,92,7.8,13
2,93,7.0,13
2,94,7.0,13
2,95,6.4,13
2,96,7.4,14
2,97,7.4,14
2,98,6.8,13
2,99,7.4,13
2,100,7.4,13
2,101,7.2,14
2,102,6.7,13
2,103,7.5,15
2,104,7.2,11
2,105,7.0,11
2,106,7.5,10
2,107,7.5,12
2,108,7.0,11
2,109,6.8,10
2,110,7.5,11
2,111,8.0,13
2,112,6.9,11
2,113,8.4,7
2,114,7.4,12
2,115,6.8,10
2,116,6.9,11
2,117,5.9,11
2,118,6.5,10
2,119,6.8,12
2,120,6.8,13
2,121,7.2,12
2,122,7.2,13
2,123,6.2,12
2,124,6.4,11
2,125,7.1,10
2,126,7.0,10
2,127,7.0,12
2,128,7.7,12
2,129,7.2,11
2,130,7.5,16
2,131,8.5,8
2,132,7.6,10
2,133,7.4,13
2,134,6.7,10
2,135,6.3,15
2,136,6.9,9
2,137,7.1,14
2,138,7.0,13
2,139,7.8,12
2,140,8.0,14
2,141,6.4,11
2,142,6.9,11
2,143,7.5,8
2,144,7.4,7
2,145,7.4,11
2,146,7.9,11
2,147,7.5,10
2,148,7.9,13
2,149,7.2,12
2,150,7.7,7
2,151,7.3,10
2,152,7.0,10
2,153,7.5,11
2,154,7.6,7
2,155,6.0,11
2,156,6.6,10
2,157,7.0,11
2,158,7.5,13
2,159,6.6,14
2,160,6.5,13
2,161,6.5,13
2,162,7.2,12
2,163,5.7,10
2,164,5.8,11
2,165,7.8,12
2,166,7.6,9
2,167,7.2,13
2,168,7.0,10
2,169,8.5,6
2,170,8.6,10
2,171,8.4,8
2,172,7.0,11
2,173,6.8,12
2,174,6.2,13
2,175,5.8,11
2,176,6.8,10
2,177,7.2,11
2,178,6.4,13
2,179,7.1,18
2,180,7.7,11
2,181,6.8,12
2,182,6.3,10
2,183,7.7,7
2,184,6.8,12
2,185,7.9,8
2,186,7.6,14
2,187,7.2,11
2,188,8.4,7
2,189,8.4,9
2,190,7.4,11
2,191,6.2,8
2,192,7.2,12
2,193,7.6,8
2,194,7.6,8
2,195,6.8,11
2,196,6.6,11
2,197,6.6,14
2,198,5.7,13
2,199,5.8,13
2,200,7.9,14
2,201,6.5,11
2,202,5.7,10
2,203,6.1,11
2,204,6.0,10
2,205,6.5,13
2,206,5.8,12
2,207,6.4,12
2,208,6.2,12
2,209,6.0,12
2,210,6.8,11
3,1,6.2,13
3,2,8.3,19
3,3,5.9,11
3,4,5.3,20
3,5,6.4,14
3,6,7.5,18
3,7,6.9,15
3,8,5.8,12
3,9,6.1,13
3,10,6.6,13
3,11,5.1,11
3,12,6.8,8
3,13,7.6,9
3,14,5.9,9
3,15,6.0,9
3,16,6.5,13
3,17,7.4,7
3,18,5.7,10
3,19,6.5,11
3,20,7.9,10
3,21,7.4,11
3,22,7.3,10
3,23,8.4,7
3,24,7.3,7
3,25,8.4,8
3,26,6.4,9
3,27,8.0,13
3,28,8.3,9
3,29,8.5,6
3,30,7.2,9
3,31,7.3,9
3,32,7.7,9
3,33,7.2,9
3,34,7.7,10
3,35,7.2,10
3,36,7.4,8
3,37,6.9,7
3,38,8.4,8
3,39,7.5,10
3,40,6.6,10
3,41,6.5,11
3,42,6.6,12
3,43,6.8,12
3,44,6.7,10
3,45,7.2,14
3,46,7.4,12
3,47,7.4,14
3,48,5.9,14
3,49,6.9,11
3,50,7.1,15
3,51,7.5,10
3,52,6.8,14
3,53,7.0,12
3,54,7.9,10
3,55,6.6,12
3,56,6.9,13
3,57,7.2,13
3,58,8.1,11
3,59,7.4,13
3,60,8.4,8
3,61,7.7,11
3,62,7.8,12
3,63,6.9,11
3,64,7.4,12
3,65,7.3,18
3,66,7.8,16
3,67,7.2,13
3,68,7.2,13
3,69,7.4,11
3,70,6.5,12
3,71,6.9,14
3,72,7.2,13
3,73,6.6,11
3,74,4.9,16
3,75,6.6,10
3,76,7.2,15
3,77,7.3,17
3,78,6.5,12
3,79,7.1,9
3,80,6.8,12
3,81,6.3,12
3,82,6.1,12
3,83,6.7,13
3,84,6.7,12
3,85,7.2,13
3,86,7.1,15
3,87,7.0,11
3,88,6.5,15
3,89,7.9,10
3,90,8.6,9
3,91,8.0,11
3,92,8.0,10
3,93,7.8,11
3,94,7.7,10
3,95,7.8,13
3,96,7.8,11
3,97,7.8,12
3,98,7.5,12
3,99,7.5,15
3,100,8.1,17
3,101,6.5,11
3,102,7.7,10
3,103,7.9,9
3,104,7.9,11
3,105,7.9,11
3,106,7.6,9
3,107,4.8,24
3,108,7.4,10
3,109,7.6,13
3,110,7.8,13
3,111,7.6,10
3,112,7.6,10
3,113,7.7,11
3,114,7.9,11
3,115,7.8,8
3,116,7.4,7
3,117,8.0,13
3,118,7.9,11
3,119,7.1,8
3,120,7.8,11
3,121,7.5,8
3,122,6.9,9
3,123,7.5,10
3,124,8.2,11
3,125,6.1,7
3,126,7.2,8
3,127,7.5,11
3,128,7.7,7
3,129,7.0,8
3,130,7.1,13
3,131,7.8,5
3,132,6.7,6
3,133,8.3,7
3,134,8.0,7
3,135,6.0,10
3,136,7.4,5
3,137,7.1,9
3,138,8.4,8
3,139,7.2,8
3,140,8.6,12
3,141,7.9,12
3,142,8.1,10
3,143,7.9,8
3,144,7.2,8
3,145,6.9,7
3,146,8.5,8
3,147,7.5,8
3,148,7.6,13
3,149,7.5,8
3,150,5.8,12
3,151,7.8,8
3,152,7.0,7
3,153,7.7,9
3,154,8.3,14
3,155,8.2,5
3,156,6.9,9
3,157,7.0,8
3,158,7.0,7
3,159,7.1,9
3,160,7.7,6
3,161,7.8,8
3,162,8.3,25
3,163,7.4,7
3,164,7.2,9
3,165,6.8,10
3,166,7.1,9
3,167,7.3,11
3,168,8.2,8
3,169,7.4,10
3,170,8.2,8
3,171,7.6,9
3,172,7.3,7
3,173,7.2,9
3,174,7.3,7
3,175,7.6,9
3,176,8.1,8
3,177,7.5,8
3,178,8.0,12
3,179,8.2,8
3,180,7.2,9
3,181,8.1,9
3,182,8.2,11
3,183,7.2,8
3,184,8.0,10
3,185,8.0,13
3,186,8.3,13
3,187,8.6,14
3,188,6.9,16
3,189,7.9,15
3,190,7.4,10
3,191,8.1,11
3,192,7.6,7
3,193,8.1,10
3,194,7.8,8
3,195,7.8,6
3,196,7.5,8
3,197,8.2,6
3,198,7.0,5
3,199,7.6,7
3,200,7.6,8
3,201,8.2,17
3,202,8.2,6
3,203,8.6,5
4,1,8.1,8
4,2,7.8,6
4,3,6.6,9
4,4,7.8,9
4,5,7.3,6
4,6,7.2,6
4,7,7.7,6
4,8,4.6,20
4,9,8.1,10
4,10,7.9,13
4,11,8.4,8
4,12,3.9,17
4,13,8.1,9
4,14,7.5,8
4,15,8.0,8
4,16,7.1,8
4,17,7.5,8
4,18,7.7,10
4,19,7.8,8
4,20,8.4,12
4,21,7.7,9
4,22,7.6,9
4,23,7.9,14
4,24,7.2,9
4,25,6.5,10
4,26,8.1,8
4,27,8.2,13
4,28,8.0,12
4,29,7.2,8
4,30,8.1,8
4,31,8.6,10
4,32,7.5,10
4,33,7.1,14
4,34,8.1,12
4,35,7.3,10
4,36,7.6,9
4,37,7.9,9
4,38,8.4,22
4,39,7.3,10
4,40,7.5,10
4,41,7.0,14
4,42,7.2,14
4,43,7.6,12
4,44,6.3,12
4,45,5.7,9
4,46,6.7,11
4,47,7.4,13
4,48,7.1,10
4,49,7.5,11
4,50,7.1,8
4,51,6.7,11
4,52,6.9,12
4,53,7.0,11
4,54,7.1,12
4,55,6.9,11
4,56,7.4,12
4,57,6.5,11
4,58,7.7,9
4,59,7.6,11
4,60,8.0,9
4,61,7.7,10
4,62,8.0,10
4,63,8.1,9
4,64,6.9,7
4,65,8.2,13
4,66,6.6,9
4,67,7.2,8
4,68,7.2,9
4,69,7.6,9
4,70,8.1,8
4,71,7.8,8
4,72,7.1,7
4,73,6.9,7
4,74,7.8,13
4,75,8.1,7
4,76,7.1,9
4,77,7.7,7
4,78,7.7,7
4,79,7.7,6
4,80,8.4,8
4,81,7.6,8
4,82,7.5,8
4,83,7.3,9
4,84,7.2,8
4,85,7.4,9
4,86,6.4,10
4,87,7.3,14
4,88,7.3,10
4,89,7.6,7
4,90,7.5,10
4,91,7.4,7
4,92,7.7,7
4,93,6.9,8
4,94,7.6,9
4,95,8.1,8
4,96,7.4,7
4,97,7.7,6
4,98,8.4,5
4,99,7.9,9
4,100,7.4,7
4,101,8.3,6
4,102,6.6,8
4,103,7.5,10
4,104,7.7,6
4,105,8.2,5
4,106,6.5,6
4,107,7.2,5
4,108,7.4,5
4,109,N/A,N/A
4,110,N/A,N/A
4,111,7.9,9
4,112,N/A,N/A
4,113,N/A,N/A
4,114,6.8,5
4,115,N/A,N/A
4,116,7.5,6
4,117,7.8,6
4,118,N/A,N/A
4,119,N/A,N/A
4,120,6.7,7
4,121,7.3,6
4,122,7.6,5
4,123,6.8,5
4,124,N/A,N/A
4,125,7.4,8
4,126,7.7,7
4,127,8.1,8
4,128,8.1,7
