season,episode_number,air_date,count
1,1,2014-02-17T23:30:00-08:00,0
1,2,2014-02-18T23:30:00-08:00,0
1,3,2014-02-19T00:00:00-08:00,0
1,4,2014-02-20T00:00:00-08:00,0
1,5,2014-02-21T00:00:00-08:00,0
1,6,2014-02-24T23:35:00-08:00,0
1,7,2014-02-25T23:35:00-08:00,0
1,8,2014-02-26T23:35:00-08:00,0
1,9,2014-02-27T23:35:00-08:00,0
1,10,2014-02-28T23:35:00-08:00,0
1,11,2014-03-03T00:00:00-08:00,0
1,12,2014-03-04T00:00:00-08:00,0
1,13,2014-03-05T00:00:00-08:00,0
1,15,2014-03-07T00:00:00-08:00,4
1,16,2014-03-10T00:00:00-07:00,0
1,17,2014-03-11T00:00:00-07:00,0
1,18,2014-03-12T00:00:00-07:00,0
1,19,2014-03-13T00:00:00-07:00,0
1,20,2014-03-14T00:00:00-07:00,0
1,21,2014-03-17T00:00:00-07:00,0
1,22,2014-03-18T00:00:00-07:00,0
1,23,2014-03-19T00:00:00-07:00,0
1,24,2014-03-20T00:00:00-07:00,0
1,25,2014-03-21T00:00:00-07:00,0
1,26,2014-03-24T00:00:00-07:00,0
1,27,2014-03-25T00:00:00-07:00,0
1,28,2014-03-26T00:00:00-07:00,0
1,29,2014-03-27T00:00:00-07:00,0
1,30,2014-03-28T00:00:00-07:00,0
1,31,2014-03-31T00:00:00-07:00,0
1,32,2014-04-01T00:00:00-07:00,0
1,33,2014-04-02T00:00:00-07:00,0
1,34,2014-04-03T00:00:00-07:00,0
1,35,2014-04-04T00:00:00-07:00,0
1,36,2014-04-07T00:00:00-07:00,0
1,37,2014-04-08T00:00:00-07:00,0
1,38,2014-04-09T00:00:00-07:00,0
1,39,2014-04-10T00:00:00-07:00,0
1,40,2014-04-11T00:00:00-07:00,0
1,41,2014-04-21T00:00:00-07:00,0
1,42,2014-04-22T00:00:00-07:00,0
1,43,2014-04-23T00:00:00-07:00,0
1,44,2014-04-24T00:00:00-07:00,0
1,45,2014-04-25T00:00:00-07:00,0
1,46,2014-04-28T00:00:00-07:00,0
1,47,2014-04-29T00:00:00-07:00,0
1,48,2014-04-30T00:00:00-07:00,0
1,49,2014-05-01T00:00:00-07:00,0
1,50,2014-05-02T00:00:00-07:00,0
1,51,2014-05-05T00:00:00-07:00,0
1,52,2014-05-06T00:00:00-07:00,0
1,53,2014-05-07T00:00:00-07:00,0
1,54,2014-05-08T00:00:00-07:00,0
1,55,2014-05-09T00:00:00-07:00,0
1,56,2014-05-12T00:00:00-07:00,0
1,57,2014-05-13T00:00:00-07:00,0
1,58,2014-05-14T00:00:00-07:00,0
1,59,2014-05-15T00:00:00-07:00,0
1,60,2014-05-16T00:00:00-07:00,0
1,61,2014-05-19T00:00:00-07:00,0
1,62,2014-05-20T00:00:00-07:00,0
1,63,2014-05-21T00:00:00-07:00,0
1,64,2014-05-22T00:00:00-07:00,0
1,65,2014-05-23T00:00:00-07:00,0
1,66,2014-06-02T00:00:00-07:00,0
1,67,2014-06-03T00:00:00-07:00,1
1,68,2014-06-04T00:00:00-07:00,0
1,69,2014-06-05T00:00:00-07:00,0
1,70,2014-06-06T00:00:00-07:00,0
1,71,2014-06-09T00:00:00-07:00,2
1,72,2014-06-10T00:00:00-07:00,0
1,73,2014-06-11T00:00:00-07:00,0
1,74,2014-06-12T00:00:00-07:00,0
1,75,2014-06-13T00:00:00-07:00,0
1,76,2014-06-16T00:00:00-07:00,0
1,77,2014-06-17T00:00:00-07:00,0
1,78,2014-06-18T00:00:00-07:00,0
1,79,2014-06-19T00:00:00-07:00,0
1,80,2014-07-07T00:00:00-07:00,0
1,81,2014-07-08T00:00:00-07:00,0
1,82,2014-07-09T00:00:00-07:00,0
1,83,2014-07-10T00:00:00-07:00,0
1,84,2014-07-11T00:00:00-07:00,0
1,85,2014-07-14T00:00:00-07:00,0
1,86,2014-07-15T00:00:00-07:00,0
1,87,2014-07-16T00:00:00-07:00,0
1,88,2014-07-17T00:00:00-07:00,0
1,89,2014-07-18T00:00:00-07:00,0
1,90,2014-07-21T00:00:00-07:00,0
1,91,2014-07-22T00:00:00-07:00,0
1,92,2014-07-23T00:00:00-07:00,0
1,93,2014-07-24T00:00:00-07:00,0
1,94,2014-07-25T00:00:00-07:00,0
1,95,2014-07-28T00:00:00-07:00,0
1,96,2014-07-29T00:00:00-07:00,0
1,97,2014-07-30T00:00:00-07:00,2
1,98,2014-07-31T00:00:00-07:00,0
1,99,2014-08-01T00:00:00-07:00,0
1,100,2014-08-04T00:00:00-07:00,1
1,101,2014-08-05T00:00:00-07:00,0
1,102,2014-08-06T00:00:00-07:00,0
1,103,2014-08-07T00:00:00-07:00,0
1,104,2014-08-08T00:00:00-07:00,2
1,105,2014-08-11T00:00:00-07:00,0
1,106,2014-08-12T00:00:00-07:00,0
1,107,2014-08-13T00:00:00-07:00,0
1,108,2014-08-14T00:00:00-07:00,0
1,109,2014-08-15T00:00:00-07:00,0
1,110,2014-08-18T00:00:00-07:00,0
1,111,2014-08-19T00:00:00-07:00,0
1,112,2014-08-20T00:00:00-07:00,0
1,113,2014-08-21T00:00:00-07:00,0
1,114,2014-08-22T00:00:00-07:00,0
1,115,2014-09-02T00:00:00-07:00,0
1,117,2014-09-04T00:00:00-07:00,0
1,118,2014-09-05T00:00:00-07:00,0
1,119,2014-09-08T00:00:00-07:00,0
1,120,2014-09-09T00:00:00-07:00,0
1,116,2014-09-03T00:00:00-07:00,2
1,121,2014-09-10T00:00:00-07:00,0
1,122,2014-09-11T00:00:00-07:00,0
1,123,2014-09-12T00:00:00-07:00,0
1,124,2014-09-15T00:00:00-07:00,0
1,125,2014-09-16T00:00:00-07:00,0
1,126,2014-09-17T00:00:00-07:00,0
1,127,2014-09-18T00:00:00-07:00,1
1,128,2014-09-19T00:00:00-07:00,0
2,1,2014-09-22T00:00:00-07:00,0
2,2,2014-09-23T00:00:00-07:00,0
2,3,2014-09-24T00:00:00-07:00,0
2,4,2014-09-25T00:00:00-07:00,0
2,5,2014-09-26T00:00:00-07:00,0
2,6,2014-09-29T00:00:00-07:00,0
2,7,2014-09-30T00:00:00-07:00,0
2,8,2014-10-01T00:00:00-07:00,0
2,9,2014-10-02T00:00:00-07:00,1
2,10,2014-10-03T00:00:00-07:00,1
2,11,2014-10-06T00:00:00-07:00,0
2,12,2014-10-07T00:00:00-07:00,0
2,13,2014-10-08T00:00:00-07:00,0
2,14,2014-10-09T00:00:00-07:00,0
2,15,2014-10-10T00:00:00-07:00,0
2,16,2014-10-13T00:00:00-07:00,0
2,17,2014-10-14T00:00:00-07:00,0
